Euk_Hit_Organism,count
Entamoeba histolytica,13572
Dictyostelium discoideum,13488
Naegleria gruberi,11787
Exaiptasia diaphana,9635
Chlamydomonas reinhardtii,8158
Diplonema papillatum,7894
Micromonas commoda,7596
Nematostella vectensis,7388
Salpingoeca rosetta,6999
Paramecium tetraurelia,6862
Tetrahymena thermophila,6630
Phaeodactylum tricornutum,6608
Volvox carteri,6147
Ostreococcus tauri,5723
Hydra vulgaris,5592
Tetraselmis striata,5388
Sphaeroforma arctica,5383
Candida albicans,5030
Clytia hemisphaerica,4894
Giardia intestinalis,4870
Penicillium chrysogenum,4726
Perkinsus marinus,4701
Schizosaccharomyces pombe,4627
Bathycoccus prasinos,4516
Amorphochlora amoebiformis,4500
Ciona intestinalis,4298
Xenopus tropicalis,4167
Caenorhabditis elegans,4117
Aspergillus nidulans,4073
Neurospora crassa,3842
Callorhinchus milii,3641
Anolis carolinensis,3561
Monosiga brevicollis,3540
Agaricus bisporus,3446
Aedes aegypti,3411
Plasmodium falciparum,2871
Chlorella vulgaris,2627
Yarrowia lipolytica,2610
Saccharomyces cerevisiae,2582
Drosophila melanogaster,2429
Mycosarcoma maydis,2402
Taeniopygia guttata,2202
Bodo saltans,2020
Mus musculus,1891
Schistosoma mansoni,1763
Gallus gallus,1609
Carlito syrichta,1393
Homo sapiens,1097
Microcebus murinus,983
Callithrix jacchus,703
Macaca mulatta,632
Petromyzon marinus,619
Pan troglodytes,413
Danio rerio,367
Isochrysis galbana,364
acyl-carrier protein,88
Hofstenia miamia,47
Euglena gracilis,31
